,Data_Value,colx,nIndex
759,11.3,Cigarette Use (Adults)Smoking StatusCurrent,2014PR
760,16.3,Cigarette Use (Adults)Current Smoking,2014RI
761,63.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014RI
762,58.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014RI
763,30.3,Cigarette Use (Adults)Smoking FrequencySome Days,2014RI
764,69.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014RI
765,56.0,Cigarette Use (Adults)Smoking StatusNever,2014RI
766,27.7,Cigarette Use (Adults)Smoking StatusFormer,2014RI
767,16.3,Cigarette Use (Adults)Smoking StatusCurrent,2014RI
768,21.5,Cigarette Use (Adults)Current Smoking,2014SC
769,54.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014SC
770,57.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014SC
771,68.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014SC
772,31.1,Cigarette Use (Adults)Smoking FrequencySome Days,2014SC
773,21.5,Cigarette Use (Adults)Smoking StatusCurrent,2014SC
774,25.3,Cigarette Use (Adults)Smoking StatusFormer,2014SC
775,53.2,Cigarette Use (Adults)Smoking StatusNever,2014SC
776,18.6,Cigarette Use (Adults)Current Smoking,2014SD
777,58.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014SD
778,47.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014SD
779,69.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014SD
780,30.5,Cigarette Use (Adults)Smoking FrequencySome Days,2014SD
781,18.6,Cigarette Use (Adults)Smoking StatusCurrent,2014SD
782,26.4,Cigarette Use (Adults)Smoking StatusFormer,2014SD
783,55.0,Cigarette Use (Adults)Smoking StatusNever,2014SD
784,24.2,Cigarette Use (Adults)Current Smoking,2014TN
785,49.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014TN
786,52.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014TN
787,77.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014TN
788,22.6,Cigarette Use (Adults)Smoking FrequencySome Days,2014TN
789,24.2,Cigarette Use (Adults)Smoking StatusCurrent,2014TN
790,24.0,Cigarette Use (Adults)Smoking StatusFormer,2014TN
791,51.8,Cigarette Use (Adults)Smoking StatusNever,2014TN
792,14.5,Cigarette Use (Adults)Current Smoking,2014TX
793,59.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014TX
794,56.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014TX
795,59.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014TX
796,40.5,Cigarette Use (Adults)Smoking FrequencySome Days,2014TX
797,14.5,Cigarette Use (Adults)Smoking StatusCurrent,2014TX
798,21.3,Cigarette Use (Adults)Smoking StatusFormer,2014TX
799,64.2,Cigarette Use (Adults)Smoking StatusNever,2014TX
800,9.7,Cigarette Use (Adults)Current Smoking,2014UT
801,62.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014UT
802,57.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014UT
803,66.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014UT
804,33.6,Cigarette Use (Adults)Smoking FrequencySome Days,2014UT
805,9.7,Cigarette Use (Adults)Smoking StatusCurrent,2014UT
806,16.1,Cigarette Use (Adults)Smoking StatusFormer,2014UT
807,74.3,Cigarette Use (Adults)Smoking StatusNever,2014UT
808,16.4,Cigarette Use (Adults)Current Smoking,2014VT
809,65.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014VT
810,53.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014VT
811,71.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014VT
812,28.5,Cigarette Use (Adults)Smoking FrequencySome Days,2014VT
813,16.4,Cigarette Use (Adults)Smoking StatusCurrent,2014VT
814,31.1,Cigarette Use (Adults)Smoking StatusFormer,2014VT
815,52.5,Cigarette Use (Adults)Smoking StatusNever,2014VT
816,19.5,Cigarette Use (Adults)Current Smoking,2014VA
817,54.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014VA
818,52.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014VA
819,71.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014VA
820,28.4,Cigarette Use (Adults)Smoking FrequencySome Days,2014VA
821,19.5,Cigarette Use (Adults)Smoking StatusCurrent,2014VA
822,23.2,Cigarette Use (Adults)Smoking StatusFormer,2014VA
823,57.3,Cigarette Use (Adults)Smoking StatusNever,2014VA
824,15.3,Cigarette Use (Adults)Current Smoking,2014WA
825,63.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014WA
826,52.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014WA
827,71.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014WA
828,29.0,Cigarette Use (Adults)Smoking FrequencySome Days,2014WA
829,15.3,Cigarette Use (Adults)Smoking StatusCurrent,2014WA
830,26.4,Cigarette Use (Adults)Smoking StatusFormer,2014WA
831,58.3,Cigarette Use (Adults)Smoking StatusNever,2014WA
832,26.7,Cigarette Use (Adults)Current Smoking,2014WV
833,50.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014WV
834,49.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014WV
835,84.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014WV
836,15.6,Cigarette Use (Adults)Smoking FrequencySome Days,2014WV
837,46.6,Cigarette Use (Adults)Smoking StatusNever,2014WV
838,26.7,Cigarette Use (Adults)Smoking StatusCurrent,2014WV
839,26.8,Cigarette Use (Adults)Smoking StatusFormer,2014WV
840,17.4,Cigarette Use (Adults)Current Smoking,2014WI
841,60.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014WI
842,54.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014WI
843,74.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014WI
844,25.9,Cigarette Use (Adults)Smoking FrequencySome Days,2014WI
845,17.4,Cigarette Use (Adults)Smoking StatusCurrent,2014WI
846,26.3,Cigarette Use (Adults)Smoking StatusFormer,2014WI
847,56.3,Cigarette Use (Adults)Smoking StatusNever,2014WI
848,19.5,Cigarette Use (Adults)Current Smoking,2014WY
849,55.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2014WY
850,50.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2014WY
851,73.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2014WY
852,26.5,Cigarette Use (Adults)Smoking FrequencySome Days,2014WY
853,19.5,Cigarette Use (Adults)Smoking StatusCurrent,2014WY
854,24.6,Cigarette Use (Adults)Smoking StatusFormer,2014WY
855,55.9,Cigarette Use (Adults)Smoking StatusNever,2014WY
856,21.5,Cigarette Use (Adults)Current Smoking,2013AL
857,52.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013AL
858,57.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013AL
859,73.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013AL
860,26.6,Cigarette Use (Adults)Smoking FrequencySome Days,2013AL
861,21.5,Cigarette Use (Adults)Smoking StatusCurrent,2013AL
862,23.4,Cigarette Use (Adults)Smoking StatusFormer,2013AL
863,55.1,Cigarette Use (Adults)Smoking StatusNever,2013AL
864,22.6,Cigarette Use (Adults)Current Smoking,2013AK
865,54.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013AK
866,50.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013AK
867,69.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013AK
868,30.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013AK
869,22.6,Cigarette Use (Adults)Smoking StatusCurrent,2013AK
870,26.7,Cigarette Use (Adults)Smoking StatusFormer,2013AK
871,50.7,Cigarette Use (Adults)Smoking StatusNever,2013AK
872,16.3,Cigarette Use (Adults)Current Smoking,2013AZ
873,61.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013AZ
874,50.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013AZ
875,32.4,Cigarette Use (Adults)Smoking FrequencySome Days,2013AZ
876,67.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013AZ
877,16.3,Cigarette Use (Adults)Smoking StatusCurrent,2013AZ
878,26.0,Cigarette Use (Adults)Smoking StatusFormer,2013AZ
879,57.6,Cigarette Use (Adults)Smoking StatusNever,2013AZ
880,25.9,Cigarette Use (Adults)Current Smoking,2013AR
881,49.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013AR
882,50.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013AR
883,75.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013AR
884,25.0,Cigarette Use (Adults)Smoking FrequencySome Days,2013AR
885,25.9,Cigarette Use (Adults)Smoking StatusCurrent,2013AR
886,25.0,Cigarette Use (Adults)Smoking StatusFormer,2013AR
887,49.1,Cigarette Use (Adults)Smoking StatusNever,2013AR
888,12.5,Cigarette Use (Adults)Current Smoking,2013CA
889,64.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013CA
890,54.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013CA
891,36.6,Cigarette Use (Adults)Smoking FrequencySome Days,2013CA
892,63.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013CA
893,64.7,Cigarette Use (Adults)Smoking StatusNever,2013CA
894,22.8,Cigarette Use (Adults)Smoking StatusFormer,2013CA
895,12.5,Cigarette Use (Adults)Smoking StatusCurrent,2013CA
896,17.7,Cigarette Use (Adults)Current Smoking,2013CO
897,59.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013CO
898,48.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013CO
899,32.4,Cigarette Use (Adults)Smoking FrequencySome Days,2013CO
900,67.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013CO
901,56.1,Cigarette Use (Adults)Smoking StatusNever,2013CO
902,26.2,Cigarette Use (Adults)Smoking StatusFormer,2013CO
903,17.7,Cigarette Use (Adults)Smoking StatusCurrent,2013CO
904,15.5,Cigarette Use (Adults)Current Smoking,2013CT
905,64.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013CT
906,58.9,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013CT
907,35.0,Cigarette Use (Adults)Smoking FrequencySome Days,2013CT
908,65.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013CT
909,56.3,Cigarette Use (Adults)Smoking StatusNever,2013CT
910,28.2,Cigarette Use (Adults)Smoking StatusFormer,2013CT
911,15.5,Cigarette Use (Adults)Smoking StatusCurrent,2013CT
912,19.6,Cigarette Use (Adults)Current Smoking,2013DE
913,56.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013DE
914,47.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013DE
915,68.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013DE
916,31.3,Cigarette Use (Adults)Smoking FrequencySome Days,2013DE
917,55.0,Cigarette Use (Adults)Smoking StatusNever,2013DE
918,19.6,Cigarette Use (Adults)Smoking StatusCurrent,2013DE
919,25.4,Cigarette Use (Adults)Smoking StatusFormer,2013DE
920,18.8,Cigarette Use (Adults)Current Smoking,2013DC
921,53.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013DC
922,61.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013DC
923,42.8,Cigarette Use (Adults)Smoking FrequencySome Days,2013DC
924,57.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013DC
925,59.8,Cigarette Use (Adults)Smoking StatusNever,2013DC
926,21.4,Cigarette Use (Adults)Smoking StatusFormer,2013DC
927,18.8,Cigarette Use (Adults)Smoking StatusCurrent,2013DC
928,16.8,Cigarette Use (Adults)Current Smoking,2013FL
929,62.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013FL
930,52.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013FL
931,68.7,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013FL
932,31.3,Cigarette Use (Adults)Smoking FrequencySome Days,2013FL
933,55.0,Cigarette Use (Adults)Smoking StatusNever,2013FL
934,16.8,Cigarette Use (Adults)Smoking StatusCurrent,2013FL
935,28.1,Cigarette Use (Adults)Smoking StatusFormer,2013FL
936,18.8,Cigarette Use (Adults)Current Smoking,2013GA
937,52.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013GA
938,52.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013GA
939,27.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013GA
940,72.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013GA
941,20.6,Cigarette Use (Adults)Smoking StatusFormer,2013GA
942,18.8,Cigarette Use (Adults)Smoking StatusCurrent,2013GA
943,60.5,Cigarette Use (Adults)Smoking StatusNever,2013GA
944,26.5,Cigarette Use (Adults)Current Smoking,2013GU
945,38.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013GU
946,68.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013GU
947,26.9,Cigarette Use (Adults)Smoking FrequencySome Days,2013GU
948,73.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013GU
949,57.0,Cigarette Use (Adults)Smoking StatusNever,2013GU
950,16.5,Cigarette Use (Adults)Smoking StatusFormer,2013GU
951,26.5,Cigarette Use (Adults)Smoking StatusCurrent,2013GU
952,13.3,Cigarette Use (Adults)Current Smoking,2013HI
953,67.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013HI
954,51.8,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013HI
955,67.2,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013HI
956,32.8,Cigarette Use (Adults)Smoking FrequencySome Days,2013HI
957,59.4,Cigarette Use (Adults)Smoking StatusNever,2013HI
958,27.3,Cigarette Use (Adults)Smoking StatusFormer,2013HI
959,13.3,Cigarette Use (Adults)Smoking StatusCurrent,2013HI
960,17.2,Cigarette Use (Adults)Current Smoking,2013ID
961,58.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013ID
962,56.5,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013ID
963,71.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013ID
964,28.9,Cigarette Use (Adults)Smoking FrequencySome Days,2013ID
965,17.2,Cigarette Use (Adults)Smoking StatusCurrent,2013ID
966,24.7,Cigarette Use (Adults)Smoking StatusFormer,2013ID
967,58.2,Cigarette Use (Adults)Smoking StatusNever,2013ID
968,18.0,Cigarette Use (Adults)Current Smoking,2013IL
969,57.9,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013IL
970,50.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013IL
971,68.6,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013IL
972,31.4,Cigarette Use (Adults)Smoking FrequencySome Days,2013IL
973,18.0,Cigarette Use (Adults)Smoking StatusCurrent,2013IL
974,24.8,Cigarette Use (Adults)Smoking StatusFormer,2013IL
975,57.2,Cigarette Use (Adults)Smoking StatusNever,2013IL
976,21.9,Cigarette Use (Adults)Current Smoking,2013IN
977,53.4,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013IN
978,49.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013IN
979,75.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013IN
980,24.1,Cigarette Use (Adults)Smoking FrequencySome Days,2013IN
981,21.9,Cigarette Use (Adults)Smoking StatusCurrent,2013IN
982,25.2,Cigarette Use (Adults)Smoking StatusFormer,2013IN
983,52.9,Cigarette Use (Adults)Smoking StatusNever,2013IN
984,19.5,Cigarette Use (Adults)Current Smoking,2013IA
985,18.2,Cigarette Use (Adults)Current Smoking,2012TX
986,55.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013IA
987,45.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013IA
988,76.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013IA
989,23.1,Cigarette Use (Adults)Smoking FrequencySome Days,2013IA
990,19.5,Cigarette Use (Adults)Smoking StatusCurrent,2013IA
991,56.1,Cigarette Use (Adults)Smoking StatusNever,2013IA
992,24.4,Cigarette Use (Adults)Smoking StatusFormer,2013IA
993,20.0,Cigarette Use (Adults)Current Smoking,2013KS
994,54.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013KS
995,49.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013KS
996,27.5,Cigarette Use (Adults)Smoking FrequencySome Days,2013KS
997,72.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013KS
998,55.9,Cigarette Use (Adults)Smoking StatusNever,2013KS
999,24.0,Cigarette Use (Adults)Smoking StatusFormer,2013KS
1000,20.0,Cigarette Use (Adults)Smoking StatusCurrent,2013KS
1001,26.5,Cigarette Use (Adults)Current Smoking,2013KY
1002,49.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013KY
1003,45.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013KY
1004,22.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013KY
1005,77.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013KY
1006,47.5,Cigarette Use (Adults)Smoking StatusNever,2013KY
1007,26.0,Cigarette Use (Adults)Smoking StatusFormer,2013KY
1008,26.5,Cigarette Use (Adults)Smoking StatusCurrent,2013KY
1009,23.5,Cigarette Use (Adults)Current Smoking,2013LA
1010,49.0,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013LA
1011,56.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013LA
1012,71.0,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013LA
1013,29.0,Cigarette Use (Adults)Smoking FrequencySome Days,2013LA
1014,53.9,Cigarette Use (Adults)Smoking StatusNever,2013LA
1015,23.5,Cigarette Use (Adults)Smoking StatusCurrent,2013LA
1016,22.6,Cigarette Use (Adults)Smoking StatusFormer,2013LA
1017,20.2,Cigarette Use (Adults)Current Smoking,2013ME
1018,60.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013ME
1019,51.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013ME
1020,25.5,Cigarette Use (Adults)Smoking FrequencySome Days,2013ME
1021,74.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013ME
1022,31.1,Cigarette Use (Adults)Smoking StatusFormer,2013ME
1023,20.2,Cigarette Use (Adults)Smoking StatusCurrent,2013ME
1024,48.7,Cigarette Use (Adults)Smoking StatusNever,2013ME
1025,16.4,Cigarette Use (Adults)Current Smoking,2013MD
1026,57.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013MD
1027,56.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013MD
1028,71.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013MD
1029,28.6,Cigarette Use (Adults)Smoking FrequencySome Days,2013MD
1030,61.3,Cigarette Use (Adults)Smoking StatusNever,2013MD
1031,16.4,Cigarette Use (Adults)Smoking StatusCurrent,2013MD
1032,22.3,Cigarette Use (Adults)Smoking StatusFormer,2013MD
1033,16.6,Cigarette Use (Adults)Current Smoking,2013MA
1034,62.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013MA
1035,53.4,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013MA
1036,70.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013MA
1037,29.1,Cigarette Use (Adults)Smoking FrequencySome Days,2013MA
1038,16.6,Cigarette Use (Adults)Smoking StatusCurrent,2013MA
1039,27.2,Cigarette Use (Adults)Smoking StatusFormer,2013MA
1040,56.1,Cigarette Use (Adults)Smoking StatusNever,2013MA
1041,21.4,Cigarette Use (Adults)Current Smoking,2013MI
1042,55.8,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013MI
1043,59.0,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013MI
1044,75.5,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013MI
1045,24.5,Cigarette Use (Adults)Smoking FrequencySome Days,2013MI
1046,27.0,Cigarette Use (Adults)Smoking StatusFormer,2013MI
1047,51.6,Cigarette Use (Adults)Smoking StatusNever,2013MI
1048,21.4,Cigarette Use (Adults)Smoking StatusCurrent,2013MI
1049,18.0,Cigarette Use (Adults)Current Smoking,2013MN
1050,60.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013MN
1051,53.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013MN
1052,31.1,Cigarette Use (Adults)Smoking FrequencySome Days,2013MN
1053,68.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013MN
1054,27.8,Cigarette Use (Adults)Smoking StatusFormer,2013MN
1055,18.0,Cigarette Use (Adults)Smoking StatusCurrent,2013MN
1056,54.2,Cigarette Use (Adults)Smoking StatusNever,2013MN
1057,24.8,Cigarette Use (Adults)Current Smoking,2013MS
1058,46.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013MS
1059,59.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013MS
1060,71.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013MS
1061,28.9,Cigarette Use (Adults)Smoking FrequencySome Days,2013MS
1062,53.7,Cigarette Use (Adults)Smoking StatusNever,2013MS
1063,24.8,Cigarette Use (Adults)Smoking StatusCurrent,2013MS
1064,21.4,Cigarette Use (Adults)Smoking StatusFormer,2013MS
1065,22.1,Cigarette Use (Adults)Current Smoking,2013MO
1066,53.3,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013MO
1067,49.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013MO
1068,24.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013MO
1069,75.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013MO
1070,22.1,Cigarette Use (Adults)Smoking StatusCurrent,2013MO
1071,52.7,Cigarette Use (Adults)Smoking StatusNever,2013MO
1072,25.2,Cigarette Use (Adults)Smoking StatusFormer,2013MO
1073,19.0,Cigarette Use (Adults)Current Smoking,2013MT
1074,58.5,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013MT
1075,46.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013MT
1076,26.1,Cigarette Use (Adults)Smoking FrequencySome Days,2013MT
1077,73.9,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013MT
1078,26.8,Cigarette Use (Adults)Smoking StatusFormer,2013MT
1079,19.0,Cigarette Use (Adults)Smoking StatusCurrent,2013MT
1080,54.2,Cigarette Use (Adults)Smoking StatusNever,2013MT
1081,57.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013US
1082,52.2,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013US
1083,19.0,Cigarette Use (Adults)Smoking StatusCurrent,2013US
1084,25.3,Cigarette Use (Adults)Smoking StatusFormer,2013US
1085,18.5,Cigarette Use (Adults)Current Smoking,2013NE
1086,57.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013NE
1087,50.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013NE
1088,25.6,Cigarette Use (Adults)Smoking FrequencySome Days,2013NE
1089,74.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013NE
1090,56.9,Cigarette Use (Adults)Smoking StatusNever,2013NE
1091,24.7,Cigarette Use (Adults)Smoking StatusFormer,2013NE
1092,18.5,Cigarette Use (Adults)Smoking StatusCurrent,2013NE
1093,19.4,Cigarette Use (Adults)Current Smoking,2013NV
1094,54.9,Cigarette Use (Adults)Smoking StatusNever,2011GU
1095,53.7,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013NV
1096,46.6,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013NV
1097,68.1,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013NV
1098,31.9,Cigarette Use (Adults)Smoking FrequencySome Days,2013NV
1099,19.4,Cigarette Use (Adults)Smoking StatusCurrent,2013NV
1100,22.5,Cigarette Use (Adults)Smoking StatusFormer,2013NV
1101,58.1,Cigarette Use (Adults)Smoking StatusNever,2013NV
1102,16.2,Cigarette Use (Adults)Current Smoking,2013NH
1103,65.6,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013NH
1104,52.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013NH
1105,24.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013NH
1106,75.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013NH
1107,16.2,Cigarette Use (Adults)Smoking StatusCurrent,2013NH
1108,52.7,Cigarette Use (Adults)Smoking StatusNever,2013NH
1109,31.0,Cigarette Use (Adults)Smoking StatusFormer,2013NH
1110,15.7,Cigarette Use (Adults)Current Smoking,2013NJ
1111,62.2,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013NJ
1112,56.3,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013NJ
1113,67.8,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013NJ
1114,32.2,Cigarette Use (Adults)Smoking FrequencySome Days,2013NJ
1115,15.7,Cigarette Use (Adults)Smoking StatusCurrent,2013NJ
1116,25.8,Cigarette Use (Adults)Smoking StatusFormer,2013NJ
1117,58.6,Cigarette Use (Adults)Smoking StatusNever,2013NJ
1118,19.1,Cigarette Use (Adults)Current Smoking,2013NM
1119,57.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013NM
1120,51.7,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013NM
1121,33.7,Cigarette Use (Adults)Smoking FrequencySome Days,2013NM
1122,66.3,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013NM
1123,55.5,Cigarette Use (Adults)Smoking StatusNever,2013NM
1124,25.4,Cigarette Use (Adults)Smoking StatusFormer,2013NM
1125,19.1,Cigarette Use (Adults)Smoking StatusCurrent,2013NM
1126,16.6,Cigarette Use (Adults)Current Smoking,2013NY
1127,60.1,Cessation (Adults)Percent of Former Smokers Among Ever Smokers,2013NY
1128,56.1,Cessation (Adults)Quit Attempt in Past Year Among Every Day Cigarette Smokers,2013NY
1129,32.6,Cigarette Use (Adults)Smoking FrequencySome Days,2013NY
1130,67.4,Cigarette Use (Adults)Smoking FrequencyEvery Day,2013NY
1131,25.0,Cigarette Use (Adults)Smoking StatusFormer,2013NY
1132,16.6,Cigarette Use (Adults)Smoking StatusCurrent,2013NY
1133,58.4,Cigarette Use (Adults)Smoking StatusNever,2013NY
1134,20.3,Cigarette Use (Adults)Current Smoking,2013NC
